7,47,29,8,47,7,48,23,33,22,2,25,17,18,39,47,30,34,49,17,47,25,17,28,30,32,32,8,7,23,10,34,27,37,15,34,49,45,36,9,4,29,6,12,42,8,5,16,24,13,
8,5,16,24,13,28,44,36,35,16,2,6,22,25,33,21,3,28,42,6,34,3,16,27,36,41,38,23,26,41,5,30,31,2,12,18,5,1,29,25,32,15,44,27,44,31,29,21,15,2,
31,29,21,15,2,20,28,47,16,18,35,16,27,35,39,30,48,41,37,31,19,13,33,26,15,33,39,47,0,36,29,8,12,38,37,35,41,2,28,5,24,16,46,46,16,34,3,24,27,47,
34,3,24,27,47,36,4,45,8,45,8,41,29,32,37,8,14,7,39,0,44,39,24,26,20,35,12,13,15,34,37,6,16,12,19,27,42,11,1,4,18,21,24,8,6,27,19,37,0,32,
27,19,37,0,32,31,37,1,42,2,28,10,15,10,41,46,20,33,39,22,49,10,6,3,45,14,6,32,28,46,30,25,49,8,0,48,44,25,0,17,48,42,29,35,2,47,49,34,19,24,
47,49,34,19,24,0,49,26,41,30,20,28,7,13,35,35,49,40,0,42,30,33,48,5,49,35,38,37,30,39,46,30,34,8,6,25,5,40,34,44,48,46,37,49,35,0,33,20,33,14,
0,33,20,33,14,8,18,27,18,33,5,11,15,29,42,47,26,26,36,19,24,40,47,6,43,47,35,11,28,10,14,16,28,34,20,23,40,1,27,38,46,27,32,36,16,3,24,38,12,13,
3,24,38,12,13,38,16,31,31,4,17,5,48,38,17,43,32,36,17,8,46,4,8,15,45,4,6,34,40,15,8,30,31,38,28,27,9,30,11,30,44,11,44,20,22,47,5,33,32,41,
47,5,33,32,41,37,18,34,38,34,15,37,20,46,49,29,1,43,42,1,3,40,24,47,9,25,8,12,7,24,15,6,29,40,37,39,7,5,20,35,31,19,39,29,6,16,25,29,41,3,
16,25,29,41,3,39,41,47,30,22,38,17,23,33,15,6,7,35,25,43,44,14,36,36,8,18,29,22,22,33,38,28,8,7,32,31,34,38,6,39,16,37,38,31,35,35,15,44,1,20,
35,15,44,1,20,37,49,9,0,38,2,34,13,0,14,7,38,22,30,35,26,18,1,37,39,29,17,14,13,1,12,43,17,49,21,35,27,15,14,3,42,10,1,12,31,18,2,20,19,17,
18,2,20,19,17,5,0,48,10,4,42,23,40,42,12,44,43,42,1,45,18,26,10,2,27,20,24,28,39,42,16,28,26,13,1,12,46,35,10,17,13,24,48,13,15,49,35,2,3,47,
49,35,2,3,47,10,18,36,15,18,17,49,11,22,15,47,2,43,32,26,35,34,27,11,35,42,26,48,12,49,32,46,18,32,32,4,20,14,9,19,44,38,17,13,27,4,44,49,10,1,
4,44,49,10,1,46,48,49,38,13,34,12,27,18,49,4,31,21,17,43,28,41,42,33,40,46,47,45,31,21,44,37,0,37,47,29,7,41,19,47,34,46,46,27,2,13,15,16,23,39,
13,15,16,23,39,20,19,47,36,13,17,36,29,3,2,49,27,9,18,13,37,10,12,25,28,28,2,31,0,26,7,46,21,6,26,22,15,17,38,44,37,9,1,13,6,9,32,27,16,5,
9,32,27,16,5,14,41,29,2,17,11,10,20,14,38,20,15,14,44,8,12,38,36,18,17,30,11,20,42,8,24,6,45,11,35,4,31,3,12,27,23,20,47,10,44,31,37,21,32,19,
