7,3,48,15,4,30,37,23,46,34,43,46,30,41,25,22,38,37,2,48,
39,9,39,23,3,44,7,38,1,30,42,18,25,24,26,8,38,40,24,13,
42,36,16,8,12,10,13,0,14,33,0,7,30,18,42,45,14,26,37,42,
49,37,42,32,31,29,29,29,21,2,37,15,3,8,16,33,7,35,33,49,
13,38,18,8,2,27,4,15,1,12,5,21,23,11,33,42,10,43,25,23,
23,21,34,18,3,5,41,21,49,46,48,48,22,4,25,40,31,36,21,47,
7,46,26,9,33,10,3,20,8,41,23,14,44,44,48,8,10,32,12,33,
13,33,24,13,42,43,40,26,35,21,13,37,9,7,18,46,23,5,11,46,
23,14,31,19,49,36,20,8,32,48,3,20,43,31,44,37,42,41,25,10,
47,1,8,6,35,2,35,10,21,23,29,15,28,0,48,31,21,18,23,25,
15,46,2,35,1,43,34,15,15,0,42,40,46,21,47,28,6,45,26,20,
39,0,20,46,36,46,41,31,21,28,0,36,7,23,30,34,17,23,42,40,
46,11,36,34,11,38,20,18,27,29,1,2,48,43,29,36,0,43,4,4,
25,22,47,44,8,4,10,28,44,43,2,18,22,34,35,45,36,29,27,40,
29,48,45,19,28,27,3,8,47,13,24,45,26,49,22,21,9,21,22,48,
1,33,15,37,13,0,12,32,35,49,34,38,8,43,37,44,20,10,26,34,
12,8,8,44,6,24,31,35,25,37,0,43,7,38,24,9,11,37,13,10,
12,4,32,21,6,16,19,18,19,45,20,6,24,18,20,39,14,26,11,1,
28,6,0,38,35,42,4,40,20,37,0,32,27,18,15,35,46,44,30,28,
43,38,32,32,34,2,23,13,46,8,10,16,45,11,48,38,22,37,5,5,
