7,5,2,1,4,14,5,9,0,2,11,14,14,9,9,8,6,7,4,2,
7,9,9,9,5,14,7,6,1,14,10,4,9,8,10,8,6,8,8,13,
10,6,2,10,12,12,15,2,0,1,2,7,14,2,12,15,14,12,7,10,
3,5,12,2,1,15,13,13,5,4,7,15,5,10,2,1,9,5,1,3,
15,6,4,10,2,13,4,1,3,12,5,7,7,13,1,10,12,11,9,9,
9,5,2,2,3,7,9,5,1,14,2,2,6,6,9,10,1,4,7,15,
9,14,12,9,3,10,5,6,8,9,9,0,12,12,0,10,10,2,14,3,
13,1,10,13,12,11,8,12,3,5,15,5,9,7,4,0,7,7,11,0,
9,0,1,3,3,6,6,10,2,0,3,6,11,1,14,7,12,11,9,10,
15,1,8,6,3,2,5,12,5,7,13,15,14,2,0,1,5,4,9,11,
15,0,4,3,3,13,4,1,15,2,10,10,14,7,15,14,6,15,12,4,
7,2,6,14,4,14,9,1,7,14,2,4,7,7,0,2,3,9,10,10,
0,11,4,4,13,8,6,2,13,15,3,4,2,11,15,4,0,13,6,6,
9,6,1,14,10,4,12,12,14,11,2,2,6,4,5,15,4,15,13,8,
15,2,15,3,14,13,5,8,15,13,10,13,12,1,6,7,11,7,8,2,
3,3,15,5,13,2,14,0,5,3,4,8,10,13,5,14,6,10,10,2,
14,10,10,12,6,10,1,5,11,5,0,13,9,6,8,9,13,5,15,10,
14,4,0,5,8,0,5,2,5,13,6,8,8,4,6,7,14,12,11,3,
12,6,2,6,5,10,4,10,6,5,2,0,13,2,1,3,14,12,0,14,
13,6,2,2,4,4,9,13,0,10,10,2,13,13,0,8,6,5,7,5,
